URI_Name,Provincia,Canton,Parroquia,Tipo,EstudiantesFemenino,EstudiantesMasculino,Total_Alumnos
COLEGIODEBACHILLERATO2DEAGOSTO,Loja_Province,ESPINDOLA,ELAIRO,COLEGIO DE BACHILLERATO  2 DE AGOSTO,10,2,63
COLEGIODEBACHILLERATOAGUSTINCURIPOMA,Loja_Province,LOJA,GUALEL,COLEGIO DE BACHILLERATO  AGUSTIN CURIPOMA,8,2,52
COLEGIODEBACHILLERATOLATINGUE,Loja_Province,OLMEDO,LATINGUE,COLEGIO DE BACHILLERATO  LA TINGUE,8,2,44
COLEGIODEBACHILLERATOLICMIGUELANTOLIANOSALINASJARAMILLO,Loja_Province,QUILANGA,SANANTONIODELASARADAS,COLEGIO DE BACHILLERATO  LIC  MIGUEL ANTOLIANO SALINAS JARAMILLO,10,4,40
COLEGIODEBACHILLERATOPIOJARAMILLOALVARADO,Loja_Province,LOJA,SANSEBASTIAN,COLEGIO DE BACHILLERATO  PIO JARAMILLO ALVARADO,47,20,67
COLEGIODEBACHILLERATOQUILANGA,Loja_Province,QUILANGA,QUILANGA,COLEGIO DE BACHILLERATO  QUILANGA,22,5,165
COLEGIODEBACHILLERATO12DEDICIEMBRE,Loja_Province,CELICA,CELICA,COLEGIO DE BACHILLERATO 12 DE DICIEMBRE,13,21,6
COLEGIODEBACHILLERATO14DEOCTUBRE,Loja_Province,CALVAS,ELLUCERO,COLEGIO DE BACHILLERATO 14 DE OCTUBRE,10,5,89
COLEGIODEBACHILLERATO18DENOVIEMBRE,Loja_Province,SOZORANGA,SOZORANGA,COLEGIO DE BACHILLERATO 18 DE NOVIEMBRE,11,24,5
COLEGIODEBACHILLERATO27DEFEBRERO,Loja_Province,LOJA,SANSEBASTIAN,COLEGIO DE BACHILLERATO 27 DE FEBRERO,27,77,9
COLEGIODEBACHILLERATO30DESEPTIEMBRE,Loja_Province,GONZANAMA,PURUNUMA(EGUIGUREN),COLEGIO DE BACHILLERATO 30 DE SEPTIEMBRE,10,2,34
COLEGIODEBACHILLERATO8DEDICIEMBRE,Loja_Province,CATAMAYO,SANPEDRODELABENDITA,COLEGIO DE BACHILLERATO 8 DE DICIEMBRE,21,2,161
COLEGIODEBACHILLERATOABDONCALDERONMUnOZ,Loja_Province,LOJA,SANTIAGO,COLEGIO DE BACHILLERATO ABDON CALDERON MU�OZ,9,2,62
COLEGIODEBACHILLERATOADOLFOVALAREZO,Loja_Province,LOJA,SUCRE,COLEGIO DE BACHILLERATO ADOLFO VALAREZO,22,76,8
COLEGIODEBACHILLERATOBALBINAMORENO,Loja_Province,GONZANAMA,GONZANAMA,COLEGIO DE BACHILLERATO BALBINA MORENO,14,2,106
COLEGIODEBACHILLERATOBEATRIZCUEVADEAYORA,Loja_Province,LOJA,ELSAGRARIO,COLEGIO DE BACHILLERATO BEATRIZ CUEVA DE AYORA,34,120,10
COLEGIODEBACHILLERATOCARLOSGARBAYMONTESDEOCA,Loja_Province,PUYANGO,MERCADILLO,COLEGIO DE BACHILLERATO CARLOS GARBAY MONTESDEOCA,11,3,72
COLEGIODEBACHILLERATOCHAGUARPAMBA,Loja_Province,CHAGUARPAMBA,CHAGUARPAMBA,COLEGIO DE BACHILLERATO CHAGUARPAMBA,16,6,134
COLEGIODEBACHILLERATOCOMUNADOMINGUILLO,Loja_Province,CELICA,CELICA,COLEGIO DE BACHILLERATO COMUNA DOMINGUILLO,8,0,22
COLEGIODEBACHILLERATODOCTORBENJAMINCARRION,Loja_Province,LOJA,SUCRE,COLEGIO DE BACHILLERATO DOCTOR BENJAMIN CARRION,12,4,83
COLEGIODEBACHILLERATODREDUARDOMORAMORENO,Loja_Province,LOJA,CHANTACO,COLEGIO DE BACHILLERATO DR  EDUARDO MORA MORENO,9,2,91
COLEGIODEBACHILLERATODRBALTAZARAGUIRRE,Loja_Province,LOJA,QUINARA,COLEGIO DE BACHILLERATO DR BALTAZAR AGUIRRE,9,2,92
COLEGIODEBACHILLERATODRCLOTARIOPAZPALADINES,Loja_Province,PINDAL,12DEDICIEMBRE,COLEGIO DE BACHILLERATO DR CLOTARIO PAZ PALADINES,9,2,48
COLEGIODEBACHILLERATODRHUGOGUILLERMOGONZALEZ,Loja_Province,ESPINDOLA,SANTATERESITA,COLEGIO DE BACHILLERATO DR HUGO GUILLERMO GONZALEZ,9,2,29
COLEGIODEBACHILLERATODRJUANFRANCISCOONTANEDA,Loja_Province,CHAGUARPAMBA,BUENAVISTA,COLEGIO DE BACHILLERATO DR JUAN FRANCISCO ONTANEDA,10,4,71
COLEGIODEBACHILLERATODRMANUELAGUSTINAGUIRRE,Loja_Province,SOZORANGA,TACAMOROS,COLEGIO DE BACHILLERATO DR MANUEL AGUSTIN AGUIRRE,8,2,48
COLEGIODEBACHILLERATODRZOILORODRIGUEZ,Loja_Province,SOZORANGA,TACAMOROS,COLEGIO DE BACHILLERATO DR ZOILO RODRIGUEZ,12,5,50
COLEGIODEBACHILLERATOECUADOR,Loja_Province,ESPINDOLA,27DEABRIL,COLEGIO DE BACHILLERATO ECUADOR,11,4,97
COLEGIODEBACHILLERATOEDMUNDOCEVALLOSAGUIRRE,Loja_Province,CALVAS,COLAISACA,COLEGIO DE BACHILLERATO EDMUNDO CEVALLOS AGUIRRE,8,6,25
COLEGIODEBACHILLERATOELCISNE,Loja_Province,LOJA,ELCISNE,COLEGIO DE BACHILLERATO EL CISNE,8,3,48
COLEGIODEBACHILLERATOELLIMO,Loja_Province,PUYANGO,ELLIMO(MARIANADEJESUS),COLEGIO DE BACHILLERATO EL LIMO,12,4,73
COLEGIODEBACHILLERATOEMILIANOABENDAnOGONZALEZ,Loja_Province,CATAMAYO,ELTAMBO,COLEGIO DE BACHILLERATO EMILIANO ABENDA�O GONZALEZ,8,3,50
COLEGIODEBACHILLERATOEMILIANOORTEGAESPINOZA,Loja_Province,CATAMAYO,CATAMAYO,COLEGIO DE BACHILLERATO EMILIANO ORTEGA ESPINOZA,53,8,645
COLEGIODEBACHILLERATOFISCOMISIONALGABRIELGARCIAMORENO,Loja_Province,ESPINDOLA,ELINGENIO,COLEGIO DE BACHILLERATO FISCOMISIONAL  GABRIEL GARCIA MORENO,15,3,108
COLEGIODEBACHILLERATOFISCOMISIONALDANIELALVAREZBURNEO,Loja_Province,LOJA,VALLE,COLEGIO DE BACHILLERATO FISCOMISIONAL DANIEL ALVAREZ BURNEO,160,31,1.629
COLEGIODEBACHILLERATOFISCOMISIONALNUESTRASEnORADELROSARIO,Loja_Province,CATAMAYO,CATAMAYO,COLEGIO DE BACHILLERATO FISCOMISIONAL NUESTRA SE�ORA DEL ROSARIO,59,4,676
COLEGIODEBACHILLERATOGALOROLANDOVELEZRIVERA,Loja_Province,ZAPOTILLO,PALETILLAS,COLEGIO DE BACHILLERATO GALO ROLANDO VELEZ RIVERA,12,2,102
COLEGIODEBACHILLERATOGUILLERMOHERRERASANCHEZ,Loja_Province,LOJA,TAQUIL(MIGUELRIOFRIO),COLEGIO DE BACHILLERATO GUILLERMO HERRERA SANCHEZ,7,2,40
COLEGIODEBACHILLERATOHERNANGALLARDOMOSCOSO,Loja_Province,LOJA,SUCRE,COLEGIO DE BACHILLERATO HERNAN GALLARDO MOSCOSO,11,3,96
COLEGIODEBACHILLERATOJOSEFELIXDEVALDIVIESO,Loja_Province,GONZANAMA,SACAPALCA,COLEGIO DE BACHILLERATO JOSE FELIX DE VALDIVIESO,7,3,77
COLEGIODEBACHILLERATOJOSEMARIARIOFRIOYVALDIVIEZO,Loja_Province,SOZORANGA,NUEVAFATIMA,COLEGIO DE BACHILLERATO JOSE MARIA RIOFRIO Y VALDIVIEZO,8,2,47
